1597150179.2192326,0.03808916666666667,0.0014286666666666668,84.1769,315.04,-0.0
time,lat,lon,hdg,rpm,rsa
1597150179.4564788,0.03809033333333333,0.0014366666666666666,84.07,315.04,-0.0
time,lat,lon,hdg,rpm,rsa
1597150179.6579297,0.03809183333333333,0.0014486666666666667,83.998,315.04,-0.0
time,lat,lon,hdg,rpm,rsa
1597150179.8651178,0.03809233333333333,0.0014528333333333333,83.9239,315.04,-0.0
time,lat,lon,hdg,rpm,rsa
1597150180.1537697,0.038093833333333334,0.0014650000000000002,83.8557,315.04,-0.0
time,lat,lon,hdg,rpm,rsa
1597150180.356882,0.03809466666666667,0.0014731666666666667,83.7532,315.04,-0.0
time,lat,lon,hdg,rpm,rsa
1597150180.5645554,0.03809566666666667,0.0014811666666666667,83.6822,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597150180.769474,0.038097000000000006,0.0014933333333333333,83.6166,0.0,-0.0
time,lat,lon,hdg,rpm,rsa
1597150181.0379336,0.03809783333333334,0.0015015,83.5513,315.04,-0.0
time,lat,lon,hdg,rpm,rsa
1597150181.2642684,0.03809883333333333,0.0015096666666666665,83.4528,315.04,0.309326
time,lat,lon,hdg,rpm,rsa
1597150181.4649177,0.03809983333333333,0.0015183333333333333,83.3944,0.0,2.66801
time,lat,lon,hdg,rpm,rsa
1597150181.6652184,0.0381015,0.001531,83.354,0.0,5.02666
time,lat,lon,hdg,rpm,rsa
1597150181.9535108,0.038102500000000004,0.0015393333333333333,83.3367,315.04,8.48733
time,lat,lon,hdg,rpm,rsa
1597150182.1596606,0.03810366666666667,0.0015476666666666666,83.3653,315.04,10.7687
time,lat,lon,hdg,rpm,rsa
1597150182.400559,0.03810533333333333,0.0015603333333333333,83.4279,315.04,14.2487
time,lat,lon,hdg,rpm,rsa
1597150182.663509,0.0381065,0.0015686666666666666,83.601,0.0,16.53
time,lat,lon,hdg,rpm,rsa
1597150182.865379,0.038107499999999996,0.0015768333333333333,83.7696,315.04,18.8113
time,lat,lon,hdg,rpm,rsa
1597150183.1343358,0.038109166666666666,0.0015901666666666666,83.984,315.04,22.446
time,lat,lon,hdg,rpm,rsa
1597150183.3640308,0.03811016666666667,0.0015984999999999999,84.3856,315.04,24.7467
time,lat,lon,hdg,rpm,rsa
1597150183.5863285,0.03811166666666667,0.0016111666666666668,84.6953,315.04,28.2074
time,lat,lon,hdg,rpm,rsa
1597150183.8534467,0.03811266666666667,0.0016196666666666666,85.2432,0.0,30.5274
time,lat,lon,hdg,rpm,rsa
1597150184.0689843,0.03811366666666667,0.0016283333333333332,85.6786,315.04,32.9247
time,lat,lon,hdg,rpm,rsa
1597150184.3188002,0.038115,0.001641,86.1362,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597150184.5646646,0.038116000000000004,0.0016493333333333334,86.8901,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597150184.7674809,0.03811766666666667,0.0016615,87.4106,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597150185.0427034,0.03811866666666666,0.0016698333333333333,87.9877,0.0,35.0
time,lat,lon,hdg,rpm,rsa
1597150185.2568293,0.03811966666666667,0.0016784999999999999,88.9032,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597150185.4586356,0.0381205,0.0016866666666666666,89.5533,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597150185.658615,0.03812166666666667,0.0016988333333333334,90.2163,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597150185.8613405,0.038122166666666665,0.001703,90.9073,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597150186.0627239,0.038122833333333335,0.0017108333333333335,91.6143,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597150186.2628906,0.03812333333333333,0.0017189999999999998,92.354,0.0,35.0
time,lat,lon,hdg,rpm,rsa
1597150186.4935517,0.038123833333333336,0.001731,93.0755,0.0,35.0
time,lat,lon,hdg,rpm,rsa
1597150186.7578063,0.03812416666666667,0.0017391666666666666,94.2298,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597150186.962339,0.03812433333333333,0.0017468333333333333,95.0488,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597150187.1637301,0.0381245,0.001755,95.8446,0.0,35.0
time,lat,lon,hdg,rpm,rsa
1597150187.3643205,0.03812466666666667,0.0017666666666666666,96.6695,0.0,35.0
time,lat,lon,hdg,rpm,rsa
1597150187.5933022,0.03812466666666667,0.0017706666666666667,97.0876,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597150187.8574684,0.03812466666666667,0.0017823333333333333,98.7765,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597150188.0599582,0.03812466666666667,0.0017901666666666667,99.6585,0.0,35.0
time,lat,lon,hdg,rpm,rsa
1597150188.2676866,0.0381245,0.0017976666666666666,100.543,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597150188.4986608,0.03812416666666667,0.0018093333333333334,101.413,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597150188.757872,0.03812366666666667,0.0018168333333333333,102.739,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597150188.9585452,0.038123166666666666,0.0018245,103.647,0.0,35.0
time,lat,lon,hdg,rpm,rsa
1597150189.1614664,0.0381225,0.001832,104.554,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597150189.4047868,0.038121166666666664,0.0018431666666666666,105.464,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597150189.6987972,0.03812016666666666,0.0018506666666666667,106.853,315.04,35.0
