timestamp,payload,time,lat,lon,hdg,rsa_0,rpm_0,rsa_2,rpm_2,rsa_1,rpm_1
2020-12-09 11:12:48.784131,"$GPRMC,101246,A,5153.7663,N,00428.6264,E,006.4,169.,091220,01.,E*4D",2020-12-09 11:12:48.784131,51.537663,4.2862599999999995,183.66081150025508,539.1930322904489,11266.117184522496,533.7734887527722,9038.53609089757,187.5338563448253,8400.524163680107
2020-12-09 11:12:48.984134,"$GPRMC,101247,A,5153.7659,N,00428.6264,E,006.4,169.,091220,01.,E*45",2020-12-09 11:12:48.984134,51.537659000000005,4.2862599999999995,184.27118430525556,539.1934578496044,11270.0,533.76,9016.156283167056,187.63963256536542,8401.656297357707
2020-12-09 11:12:49.184128,"$GPRMC,101247,A,5153.7656,N,00428.6264,E,006.4,169.,091220,01.,E*4A",2020-12-09 11:12:49.184128,51.537656,4.2862599999999995,184.9609451629514,539.22,11283.244332901555,533.809795074588,9004.444675430956,187.46785681942126,8412.881491410819
2020-12-09 11:12:49.384116,"$GPRMC,101247,A,5153.7656,N,00428.6264,E,006.4,169.,091220,01.,E*4A",2020-12-09 11:12:49.384116,51.537656,4.2862599999999995,185.55070340123126,539.22,11315.625809585492,533.9164859259654,9035.461002877431,187.06124814264487,8401.246622423156
2020-12-09 11:12:49.586129,"$GPRMC,101247,A,5153.7648,N,00428.6263,E,006.4,172.,091220,01.,E*48",2020-12-09 11:12:49.586129,51.537648,4.2862599999999995,186.0781393233267,539.2068278953125,11200.43574871524,534.498234754564,8986.960650471792,186.24260840199918,8381.13405267069
2020-12-09 11:12:49.786136,"$GPRMC,101247,A,5153.7644,N,00428.6263,E,006.5,172.,091220,01.,E*45",2020-12-09 11:12:49.786136,51.537644,4.2862599999999995,186.75570728974392,539.1801482005176,11190.2971501042,534.8078773790112,8940.164875863928,186.07,8363.138881206034
2020-12-09 11:12:49.986115,"$GPRMC,101248,A,5153.7640,N,00428.6262,E,006.5,172.,091220,01.,E*4F",2020-12-09 11:12:49.986115,51.53764,4.2862599999999995,187.26768393361172,539.2062857331681,11360.698335111285,534.7813129518503,8990.739066342338,186.07182235278034,8350.38033521341
2020-12-09 11:12:50.184171,"$GPRMC,101248,A,5153.7636,N,00428.6262,E,006.5,172.,091220,01.,E*4E",2020-12-09 11:12:50.184171,51.537636,4.2862599999999995,187.85532150830937,539.2075212227479,11342.956227334074,534.5490949672499,8936.716671929795,186.07842622262086,8347.717076382793
2020-12-09 11:12:50.384122,"$GPRMC,101248,A,5153.7636,N,00428.6262,E,006.5,172.,091220,01.,E*4E",2020-12-09 11:12:50.384122,51.537636,4.2862599999999995,188.34060771546595,539.1810613028088,11288.31030487074,533.9282867076139,8881.07372339753,186.6474256565375,8375.645422619522
2020-12-09 11:12:50.586108,"$GPRMC,101248,A,5153.7629,N,00428.6259,E,006.5,175.,091220,01.,E*4F",2020-12-09 11:12:50.586108,51.537628999999995,4.28625,188.76697300459506,539.1800000000001,11210.965870193524,532.8047117858384,8953.647648070582,187.20532703546553,8382.597572724553
2020-12-09 11:12:50.784105,"$GPRMC,101248,A,5153.7625,N,00428.6259,E,006.5,175.,091220,01.,E*43",2020-12-09 11:12:50.784105,51.537625,4.28625,189.34065043902635,539.1920355877804,11168.344123849405,532.4609328500383,8971.095982880015,187.2251410015211,8382.807401711687
2020-12-09 11:12:50.986118,"$GPRMC,101249,A,5153.7621,N,00428.6258,E,006.5,175.,091220,01.,E*47",2020-12-09 11:12:50.986118,51.537621,4.28625,189.75582421205655,539.2189110804384,11182.018040267038,532.29,8977.500262584093,187.23,8392.93776745119
2020-12-09 11:12:51.184100,"$GPRMC,101249,A,5153.7618,N,00428.6257,E,006.5,175.,091220,01.,E*42",2020-12-09 11:12:51.184100,51.537618,4.28625,190.25041945343492,539.1947955592739,11283.9904251877,532.29,9016.325939984577,187.22331090917552,8393.276791959346
2020-12-09 11:12:51.384105,"$GPRMC,101249,A,5153.7618,N,00428.6257,E,006.5,175.,091220,01.,E*42",2020-12-09 11:12:51.384105,51.537618,4.28625,190.74967049778368,539.1918170419378,11190.330009871015,532.2780162028721,9042.376971785881,187.19672033396927,8383.952351419824
2020-12-09 11:12:51.586140,"$GPRMC,101249,A,5153.7611,N,00428.6254,E,006.5,178.,091220,01.,E*45",2020-12-09 11:12:51.586140,51.537611,4.28625,191.23744815447796,539.2187665403906,11106.970402474732,532.5673122229593,9055.724335820698,187.21005759605964,8349.295233822442
2020-12-09 11:12:51.786103,"$GPRMC,101249,A,5153.7607,N,00428.6253,E,006.5,178.,091220,01.,E*45",2020-12-09 11:12:51.786103,51.537607,4.28625,191.65576199811952,539.1947604962779,11115.570819341285,533.3065006155541,9039.189066179779,187.23,8350.881343975625
2020-12-09 11:12:51.986097,"$GPRMC,101250,A,5153.7603,N,00428.6252,E,006.5,178.,091220,01.,E*48",2020-12-09 11:12:51.986097,51.537603,4.28625,192.15585635580086,539.1917606392171,11248.384175948788,533.7293325836249,8999.560351317441,187.23,8366.893559860378
2020-12-09 11:12:52.186111,"$GPRMC,101250,A,5153.7599,N,00428.6251,E,006.5,179.,091220,01.,E*4A",2020-12-09 11:12:52.186111,51.537599,4.28625,192.64466707660313,539.2183522342024,11339.273275418835,533.9651006567369,8953.37438705895,187.21557194230468,8366.231798706347
2020-12-09 11:12:52.386108,"$GPRMC,101250,A,5153.7599,N,00428.6251,E,006.5,179.,091220,01.,E*4A",2020-12-09 11:12:52.386108,51.537599,4.28625,193.0557733954177,539.1951955336808,11286.523350538524,533.9518934758851,8924.06025477028,187.20139154453668,8386.239877640166
2020-12-09 11:12:52.586107,"$GPRMC,101250,A,5153.7592,N,00428.6248,E,006.5,181.,091220,01.,E*4E",2020-12-09 11:12:52.586107,51.537592000000004,4.28624,193.54471330510296,539.1885428375369,11198.432406519654,533.5123900510187,8952.655716730638,187.20809581115327,8406.191961244667
2020-12-09 11:12:52.786128,"$GPRMC,101250,A,5153.7588,N,00428.6246,E,006.5,181.,091220,01.,E*4B",2020-12-09 11:12:52.786128,51.537588,4.28624,193.95589554365597,539.2086289645015,11196.951756994256,532.8927198713806,8994.64606741573,187.8660839731907,8357.908065209484
2020-12-09 11:12:52.986100,"$GPRMC,101251,A,5153.7584,N,00428.6245,E,006.5,182.,091220,01.,E*46",2020-12-09 11:12:52.986100,51.537583999999995,4.28624,194.45074374454467,539.2161637681495,11398.25448094167,532.0707309764143,8982.023166266885,188.70759953694542,8373.93371567883
2020-12-09 11:12:53.206111,"$GPRMC,101251,A,5153.7581,N,00428.6244,E,006.5,182.,091220,01.,E*42",2020-12-09 11:12:53.206111,51.537581,4.28624,194.94473288167796,539.22,11330.865669529267,531.5115921934226,8993.056941901918,189.3243768551866,8410.664477460521
2020-12-09 11:12:53.406083,"$GPRMC,101251,A,5153.7581,N,00428.6244,E,006.5,182.,091220,01.,E*42",2020-12-09 11:12:53.406083,51.537581,4.28624,195.3558377918896,539.22,11235.816586985657,531.2669664527712,8993.572704425545,189.79839409223575,8365.284850426495
2020-12-09 11:12:53.606110,"$GPRMC,101251,A,5153.7574,N,00428.6241,E,006.5,184.,091220,01.,E*4B",2020-12-09 11:12:53.606110,51.537574000000006,4.28624,195.844742,539.22,11171.796423356203,531.3068694351166,8944.966706056623,190.34050325940032,8341.448277341005
2020-12-09 11:12:53.806158,"$GPRMC,101251,A,5153.7570,N,00428.6240,E,006.5,184.,091220,01.,E*4E",2020-12-09 11:12:53.806158,51.537569999999995,4.28624,196.24483710325794,539.2068325666943,11321.892085374528,532.1183746270378,8913.903327955826,191.10642970815218,8336.111477848543
2020-12-09 11:12:54.010152,"$GPRMC,101252,A,5153.7566,N,00428.6238,E,006.5,185.,091220,01.,E*44",2020-12-09 11:12:54.010152,51.537566,4.28623,196.6555937983517,539.1802293296544,11348.396700560765,532.64,8921.74078419933,191.83966254894062,8369.9801961787
