0,0.11171,0.19065,0.27419,0.35018,0.44036
1,0.10797,0.18703,0.26734,0.34186,0.43006
2,0.10284,0.18136,0.2588,0.33157,0.4179
3,0.096258,0.17382,0.24879,0.31951,0.40422
4,0.08826,0.16466,0.23759,0.30592,0.38942
5,0.078962,0.15418,0.22548,0.2911,0.37387
6,0.068536,0.14273,0.21272,0.27535,0.35792
7,0.057184,0.13061,0.19957,0.25898,0.34184
8,0.045116,0.11813,0.18621,0.24227,0.32587
9,0.032524,0.10551,0.17278,0.22548,0.31015
10,0.019558,0.092883,0.15938,0.2088,0.29476
11,0.0063149,0.080316,0.14601,0.19237,0.2797
12,-0.0071776,0.067781,0.13266,0.17629,0.26492
13,-0.020959,0.055171,0.11926,0.16057,0.25029
14,-0.035135,0.042322,0.10569,0.14516,0.23571
15,-0.049865,0.029027,0.091848,0.12998,0.22101
16,-0.065347,0.015059,0.077588,0.11487,0.20606
17,-0.081796,0.00019547,0.062781,0.099658,0.19073
18,-0.099427,-0.015761,0.04731,0.084146,0.17492
19,-0.11843,-0.032969,0.031072,0.068124,0.15856
20,-0.13894,-0.051537,0.013986,0.051386,0.1416
21,-0.16106,-0.071514,-0.004011,0.033745,0.12403
22,-0.1848,-0.092897,-0.022959,0.015042,0.10585
23,-0.21011,-0.11563,-0.042883,-0.0048456,0.087069
24,-0.23687,-0.13963,-0.063797,-0.025997,0.067699
25,-0.26489,-0.16477,-0.08571,-0.048443,0.047748
26,-0.29394,-0.19092,-0.10863,-0.072169,0.027216
27,-0.32376,-0.21796,-0.13255,-0.097116,0.0060833
28,-0.35408,-0.24578,-0.1575,-0.12319,-0.015681
29,-0.38462,-0.27427,-0.18347,-0.15026,-0.03812
30,-0.41514,-0.30336,-0.21049,-0.17818,-0.061287
31,-0.44544,-0.33302,-0.23857,-0.20681,-0.085234
32,-0.47536,-0.36322,-0.2677,-0.23601,-0.11001
33,-0.50482,-0.39393,-0.29789,-0.26564,-0.13564
34,-0.53376,-0.42516,-0.3291,-0.29562,-0.16216
35,-0.56222,-0.45688,-0.36129,-0.32589,-0.18956
36,-0.59025,-0.48907,-0.39439,-0.35642,-0.21782
37,-0.61795,-0.52167,-0.4283,-0.38723,-0.2469
38,-0.64543,-0.5546,-0.46291,-0.4184,-0.27675
39,-0.67281,-0.58776,-0.49806,-0.45001,-0.30731
40,-0.7002,-0.62102,-0.53359,-0.48216,-0.3385
41,-0.72767,-0.65422,-0.56933,-0.51498,-0.37029
42,-0.75529,-0.68719,-0.60509,-0.54858,-0.40261
43,-0.78306,-0.71979,-0.64068,-0.58304,-0.43543
44,-0.81095,-0.75184,-0.67595,-0.61842,-0.46872
45,-0.83889,-0.78321,-0.71072,-0.6547,-0.50248
46,-0.86679,-0.81381,-0.74488,-0.69185,-0.53668
47,-0.89453,-0.84355,-0.77831,-0.72973,-0.57132
48,-0.92196,-0.87241,-0.81095,-0.76817,-0.60635
49,-0.94897,-0.90038,-0.84274,-0.80692,-0.64172
50,-0.97543,-0.92751,-0.87367,-0.84571,-0.67733
51,-1.0012,-0.95385,-0.90375,-0.88419,-0.71306
52,-1.0263,-0.97949,-0.933,-0.92202,-0.74871
53,-1.0507,-1.0045,-0.96145,-0.95885,-0.78407
54,-1.0743,-1.0289,-0.98913,-0.99433,-0.81887
55,-1.0971,-1.0529,-1.0161,-1.0282,-0.8528
56,-1.1193,-1.0764,-1.0423,-1.0601,-0.88556
57,-1.1409,-1.0994,-1.0677,-1.0898,-0.91682
58,-1.1619,-1.1219,-1.0924,-1.1173,-0.94628
59,-1.1824,-1.1439,-1.1163,-1.1424,-0.97369
60,-1.2025,-1.1652,-1.1392,-1.1651,-0.99885
61,-1.2222,-1.1856,-1.1612,-1.1855,-1.0216
62,-1.2414,-1.2052,-1.1819,-1.2036,-1.0419
63,-1.2602,-1.2236,-1.2014,-1.2196,-1.0598
64,-1.2784,-1.2409,-1.2194,-1.2337,-1.0754
65,-1.296,-1.2568,-1.2359,-1.2461,-1.0888
66,-1.3128,-1.2712,-1.2507,-1.257,-1.1004
67,-1.3287,-1.2842,-1.2638,-1.2667,-1.1104
68,-1.3436,-1.2956,-1.275,-1.2752,-1.1192
69,-1.3574,-1.3055,-1.2845,-1.2829,-1.1271
70,-1.3699,-1.314,-1.2921,-1.2899,-1.1345
71,-1.3811,-1.321,-1.298,-1.2963,-1.1415
72,-1.3909,-1.3268,-1.3023,-1.3022,-1.1484
73,-1.3994,-1.3315,-1.3052,-1.3078,-1.1555
74,-1.4065,-1.3352,-1.3067,-1.3129,-1.1627
75,-1.4123,-1.3381,-1.3072,-1.3178,-1.1702
