timestamp,payload
2020-12-09T10:30:12.235897,"$GPHDT,220.1,T*34"
2020-12-09T10:30:12.249096,"$SDDBT,19.72,f,6.01,M,3.28,F*05"
2020-12-09T10:30:12.278655,"$GPGGA,093010,5154.8028,N,00429.1977,E,2,04,01,+0005,M,+047,M,00,0000*67"
2020-12-09T10:30:12.289908,"$YXMTW,36.9,C*1E"
2020-12-09T10:30:12.314245,"$GPRMC,093010,A,5154.8028,N,00429.1977,E,000.0,079.,091220,01.,E*4A"
2020-12-09T10:30:12.338420,"$GPGLL,5154.8028,N,00429.1977,E,093010.00,A*0F"
2020-12-09T10:30:12.355464,"$GPVTG,079.7,T,,,000.0,N,000.1,K*25"
2020-12-09T10:30:12.366129,"$GPROT,-0002.8,A*26"
2020-12-09T10:30:12.382997,"$GPDTM,W84,,0,N,0,E,+0,W84*5A"
2020-12-09T10:30:12.403641,"$GPZDA,093011.00,09,12,2020,-02,00*49"
2020-12-09T10:30:12.477902,"$HEROT,10.09,A*23"
2020-12-09T10:30:12.488339,"$GPGGA,093012.09,5154.8009,N,00429.1966,E,2,10,0.9,8.1,M,44.9,M,,*64"
2020-12-09T10:30:12.523894,"$HCHDT,255.4,T*2F"
2020-12-09T10:30:12.607646,"$GPVTG,64.7,T,64.2,M,0.1,N,0.1,K,D*23"
2020-12-09T10:30:12.662665,"$WIMWV,254.9,R,7.9,N,A*27"
2020-12-09T10:30:12.716244,"$VDVBW,000.25,,A,00.00,00.00,V,,V,00.00,V*71"
2020-12-09T10:30:12.763901,"$HEROT,10.89,A*2B"
2020-12-09T10:30:12.781003,"$VDVLW,9968.21,N,5898.22,N*5E"
2020-12-09T10:30:12.814458,"$WIMDA,29.7839,I,1.0086,B,-0.5,C,,,,,,,151.0,T,150.5,M,7.8,N,4.0,M*3C"
2020-12-09T10:30:12.889586,"$GPZDA,093012.59,09,12,2020,00,00*69"
2020-12-09T10:30:13.028011,"$YXXDR,C,-6.3,C,WCHR,C,-6.3,C,WCHT,C,,C,HINX,P,1.0077,B,STNP*4A"
2020-12-09T10:30:13.048089,"$HEROT,12.11,A*28"
2020-12-09T10:30:13.064065,"$HCHDT,255.7,T*2C"
2020-12-09T10:30:13.143588,"$YXXDR,A,-3.1,D,PTCH,A,0.2,D,ROLL*70"
2020-12-09T10:30:13.166629,"$SDDPT,6.01,0.00,100.0*53"
2020-12-09T10:30:13.198645,"$WIMWV,262.2,R,9.7,N,A*29"
2020-12-09T10:30:13.236036,"$GPHDT,220.1,T*34"
2020-12-09T10:30:13.245179,"$SDDBT,19.72,f,6.01,M,3.28,F*05"
2020-12-09T10:30:13.278722,"$GPGGA,093011,5154.8029,N,00429.1977,E,2,04,01,+0005,M,+047,M,00,0000*67"
2020-12-09T10:30:13.285919,"$YXMTW,36.9,C*1E"
2020-12-09T10:30:13.314365,"$GPRMC,093011,A,5154.8029,N,00429.1977,E,000.0,079.,091220,01.,E*4A"
2020-12-09T10:30:13.334058,"$HEROT,12.81,A*21"
2020-12-09T10:30:13.340519,"$GPGLL,5154.8029,N,00429.1977,E,093011.00,A*0F"
2020-12-09T10:30:13.355514,"$GPVTG,079.7,T,,,000.0,N,000.0,K*24"
2020-12-09T10:30:13.366128,"$GPROT,-0002.5,A*2B"
2020-12-09T10:30:13.383067,"$GPDTM,W84,,0,N,0,E,+0,W84*5A"
2020-12-09T10:30:13.403686,"$GPZDA,093012.00,09,12,2020,-02,00*4A"
2020-12-09T10:30:13.488322,"$GPGGA,093013.09,5154.8009,N,00429.1966,E,2,9,1.2,8.0,M,44.9,M,,*56"
2020-12-09T10:30:13.524015,"$HCHDT,256.4,T*2C"
2020-12-09T10:30:13.605855,"$GPVTG,58.2,T,57.7,M,0.0,N,0.0,K,D*2C"
2020-12-09T10:30:13.620060,"$HEROT,12.80,A*20"
2020-12-09T10:30:13.660674,"$WIMWV,265.4,R,9.5,N,A*2A"
2020-12-09T10:30:13.716318,"$VDVBW,000.25,,A,00.00,00.00,V,,V,00.00,V*71"
