time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292254.1349707,0.0042871666666666666,-0.00010333333333333333,6.55885,180.0,180.0,284.646,23.9154482,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292254.4264615,0.004288666666666666,-0.0001015,7.18389,180.0,180.0,293.796,38.159296,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292254.7307374,0.004290166666666667,-9.949999999999999e-05,7.83275,180.0,180.0,302.546,51.198882,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292255.027791,0.004291833333333333,-9.75e-05,8.45763,180.0,180.0,311.596,64.399398,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292255.3300254,0.0042935000000000004,-9.55e-05,9.09942,180.0,180.0,318.676,77.375676,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292255.626518,0.004295333333333333,-9.350000000000001e-05,9.70422,180.0,180.0,318.676,86.605078,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292255.9280617,0.004297166666666667,-9.15e-05,10.3263,180.0,180.0,316.526,91.133994,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292256.2328858,0.004299,-8.966666666666667e-05,10.9597,180.0,180.0,307.427,95.71345000000001,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292256.5343094,0.004301,-8.783333333333335e-05,11.606,180.0,180.0,298.277,100.17559999999999,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292256.8336563,0.004303,-8.616666666666667e-05,12.2671,180.0,180.0,289.177,104.74175600000001,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292257.129159,0.004305166666666666,-8.45e-05,12.9338,180.0,180.0,280.177,109.290888,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292257.4279084,0.0043075000000000006,-8.3e-05,13.6497,180.0,180.0,271.427,113.80251399999999,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292257.7293594,0.004309833333333333,-8.133333333333334e-05,14.3923,180.0,180.0,262.377,118.46256799999999,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
