1603289858.9194546,-0.00012566666666666667,7.55e-05,359.702,180.0,180.0,180.0,0.0,0.0,0.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603289859.0200303,-0.00012566666666666667,7.55e-05,359.702,180.0,180.0,180.0,0.0,0.0,0.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603289859.1203766,-0.00012583333333333335,7.55e-05,359.702,180.0,180.0,180.0,0.0,0.0,0.82459468
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603289859.2212384,-0.00012583333333333335,7.55e-05,359.702,180.0,180.0,180.0,2.48350634,0.0,0.82459468
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603289859.4169734,-0.00012583333333333335,7.55e-05,359.702,180.0,180.0,180.0,2.48350634,6.017824399999999,11.146357600000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603289859.5195894,-0.00012583333333333335,7.55e-05,359.702,180.0,180.0,180.0,14.0261002,6.017824399999999,11.146357600000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603289859.715477,-0.000126,7.55e-05,359.702,180.0,180.0,180.0,14.0261002,18.8254052,25.0588226
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603289859.9150972,-0.000126,7.55e-05,359.702,180.0,180.0,180.0,29.218504000000003,34.034434000000005,25.0588226
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603289860.0173333,-0.000126,7.55e-05,359.702,180.0,180.0,180.0,29.218504000000003,34.034434000000005,42.643789999999996
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603289860.1195688,-0.000126,7.55e-05,359.702,180.0,180.0,180.0,48.106366,34.034434000000005,42.643789999999996
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603289860.2200735,-0.000126,7.55e-05,359.702,180.0,180.0,180.0,48.106366,55.378539999999994,42.643789999999996
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603289860.41454,-0.000126,7.533333333333333e-05,359.702,180.0,180.0,180.0,70.21203,55.378539999999994,63.94507000000001
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603289860.5147007,-0.000126,7.533333333333333e-05,359.701,180.0,180.0,180.0,70.21203,78.511762,87.87815400000001
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603289860.6149876,-0.000126,7.533333333333333e-05,359.701,180.0,180.0,180.0,70.21203,78.511762,87.87815400000001
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603289860.7151744,-0.00012583333333333335,7.533333333333333e-05,359.7,180.0,180.0,180.0,96.20422,78.511762,87.87815400000001
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603289860.8225148,-0.00012583333333333335,7.533333333333333e-05,359.699,180.0,180.0,180.0,96.20422,105.694568,87.87815400000001
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603289861.020351,-0.00012566666666666667,7.533333333333333e-05,359.697,180.0,180.0,180.0,125.19157000000001,105.694568,116.00286600000001
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
