time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752557.0594199,0.003051666666666667,0.023356166666666667,156.269,255.75,259.2,262.1,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752557.258225,0.0030468333333333333,0.023358,156.322,264.55,268.0,262.1,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752557.3582773,0.0030369999999999998,0.0233615,156.352,264.55,268.0,271.0,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752557.564735,0.003032,0.023363166666666667,156.423,273.5,277.0,271.0,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752557.6653156,0.0030266666666666667,0.023365,156.46,273.5,277.0,280.25,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752557.7654357,0.0030168333333333336,0.02336816666666667,156.5,282.75,277.0,280.25,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752557.8768868,0.0030168333333333336,0.02336816666666667,156.537,282.75,286.25,280.25,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752558.058461,0.0030075,0.023370833333333334,156.629,291.5,286.25,288.95,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752558.1592243,0.0030025,0.02337216666666667,156.677,291.5,295.05,288.95,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752558.2610168,0.0029976666666666667,0.0233735,156.727,291.5,295.05,298.05,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752558.3606012,0.0029878333333333337,0.023376,156.779,300.55,295.05,298.05,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752558.4608767,0.002983,0.023377,156.833,300.55,304.1,298.05,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752558.5610878,0.0029781666666666663,0.023378166666666665,156.888,309.6,304.1,307.1,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752558.6613407,0.0029735,0.023379166666666666,156.945,309.6,313.1,307.1,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752558.7621028,0.0029686666666666668,0.023380166666666664,157.004,309.6,313.1,307.1,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752558.960354,0.002964,0.023381166666666668,157.124,318.6,313.1,316.1,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752559.0606096,0.0029546666666666666,0.023382999999999998,157.185,318.6,322.1,325.1,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752559.258129,0.0029501666666666665,0.023383833333333333,157.309,327.549,322.1,325.1,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752559.364019,0.0029458333333333333,0.023384666666666668,157.378,327.549,331.0,325.1,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752559.4641302,0.0029365000000000003,0.023386333333333335,157.442,336.749,331.0,334.249,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752559.5644562,0.0029321666666666667,0.023387166666666667,157.505,336.749,331.0,334.249,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752559.7569072,0.002928166666666667,0.023387833333333333,157.634,336.749,340.149,342.899,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752559.86497,0.0029238333333333334,0.023388666666666665,157.707,345.499,340.149,342.899,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752559.965072,0.002915,0.023390166666666667,157.774,345.499,349.249,352.249,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752560.160092,0.0029108333333333334,0.023391,157.906,354.749,349.249,352.249,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752560.2601328,0.002903,0.023392333333333334,157.969,354.749,358.149,352.249,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752560.3636556,0.002903,0.023392333333333334,158.04,354.749,358.149,360.0,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752560.5569148,0.0028946666666666665,0.023394,158.166,360.0,360.0,360.0,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752560.6629734,0.002891,0.023394666666666668,158.236,360.0,360.0,360.0,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752560.854719,0.0028831666666666667,0.023396166666666666,158.359,360.0,360.0,360.0,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752560.963077,0.0028796666666666667,0.023396833333333332,158.429,360.0,360.0,360.0,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752561.1617427,0.002872,0.0233985,158.553,360.0,360.0,360.0,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752561.360613,0.002865,0.023400166666666666,158.677,360.0,360.0,360.0,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752561.564577,0.0028583333333333334,0.023401833333333334,158.804,360.0,360.0,360.0,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752561.6654408,0.002851,0.023403666666666666,158.865,360.0,360.0,360.0,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752561.7665713,0.0028478333333333333,0.023404499999999998,158.924,360.0,360.0,360.0,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752561.956645,0.0028445,0.023405333333333334,159.041,360.0,360.0,360.0,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752562.0718699,0.0028413333333333333,0.02340633333333333,159.106,360.0,360.0,360.0,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752562.2589252,0.0028348333333333333,0.023408333333333333,159.222,360.0,360.0,360.0,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752562.4634547,0.002829,0.023410166666666666,159.341,360.0,360.0,360.0,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752562.660767,0.002822833333333333,0.023412166666666668,159.455,360.0,360.0,360.0,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752562.8570762,0.002817166666666667,0.023414,159.569,360.0,360.0,360.0,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752562.9639127,0.0028144999999999997,0.023414833333333333,159.632,360.0,360.0,360.0,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752563.1765974,0.0028088333333333338,0.023416666666666665,159.745,360.0,360.0,360.0,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752563.3576987,0.002803833333333333,0.023418333333333333,159.859,360.0,360.0,360.0,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752563.4581864,0.0027990000000000003,0.02342,159.917,360.0,360.0,360.0,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752563.5650187,0.0027990000000000003,0.02342,159.979,360.0,360.0,360.0,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752563.7595158,0.0027941666666666666,0.023421499999999998,160.093,360.0,360.0,360.0,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752563.8598123,0.0027918333333333332,0.023422166666666668,160.149,360.0,360.0,360.0,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752564.0577683,0.0027898333333333334,0.023422833333333334,160.209,360.0,360.0,360.0,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752564.1604216,0.0027855,0.023424,160.33,360.0,360.0,360.0,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752564.3554132,0.0027816666666666667,0.023424999999999998,160.445,360.0,360.0,360.0,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752564.4625452,0.0027798333333333334,0.0234255,160.509,360.0,360.0,360.0,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752564.5630517,0.0027763333333333333,0.023426333333333334,160.568,360.0,360.0,360.0,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752564.663159,0.002774833333333333,0.0234265,160.625,360.0,360.0,360.0,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752564.864088,0.002773166666666667,0.023426833333333334,160.75,360.0,360.0,360.0,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752564.9644685,0.0027716666666666666,0.023427,160.811,360.0,360.0,360.0,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752565.162087,0.002769,0.023427333333333335,160.931,360.0,360.0,360.0,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752565.2625108,0.0027668333333333334,0.0234275,160.994,360.0,360.0,360.0,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752565.3743849,0.0027668333333333334,0.0234275,161.055,360.0,360.0,360.0,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752565.5621796,0.0027648333333333336,0.023427333333333335,161.181,360.0,360.0,360.0,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752565.6648831,0.002764,0.023427166666666666,161.246,360.0,360.0,360.0,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752565.8601003,0.0027626666666666663,0.023426833333333334,161.371,360.0,360.0,360.0,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752565.9610999,0.002762,0.023426666666666665,161.437,360.0,360.0,360.0,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752566.062657,0.0027616666666666666,0.023426333333333334,161.505,360.0,360.0,360.0,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1597752566.1656,0.002761333333333333,0.023426,161.572,360.0,360.0,360.0,266.0,266.0,266.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
