time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603293364.8132808,-0.00969,0.014166000000000002,195.667,201.571,180.0,180.0,170.586864,185.04343200000002,187.93485199999998
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603293365.1177669,-0.009702333333333334,0.014162833333333335,195.628,201.571,180.0,180.0,170.586864,185.04343200000002,187.93485199999998
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603293365.4100564,-0.009714166666666666,0.014159666666666666,195.576,201.571,180.0,180.0,170.586864,185.04343200000002,187.93485199999998
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603293365.712596,-0.009726333333333333,0.014156499999999999,195.509,201.571,180.0,180.0,170.586864,185.04343200000002,187.93485199999998
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603293366.0144885,-0.009738666666666666,0.014153166666666666,195.429,201.571,180.0,180.0,170.586864,185.04343200000002,187.93485199999998
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603293366.316953,-0.0097505,0.01415,195.336,201.571,180.0,180.0,170.586864,185.04343200000002,187.93485199999998
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603293366.6090367,-0.009762666666666666,0.014146666666666667,195.233,201.571,180.0,180.0,170.586864,185.04343200000002,187.93485199999998
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603293366.9125836,-0.009774833333333333,0.014143333333333334,195.115,201.571,180.0,180.0,170.586864,185.04343200000002,187.93485199999998
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603293367.2177641,-0.009786999999999999,0.014139833333333332,194.982,201.571,180.0,180.0,170.586864,185.04343200000002,187.93485199999998
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603293367.5091507,-0.009799,0.0141365,194.843,201.571,180.0,180.0,170.586864,185.04343200000002,187.93485199999998
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603293367.8112204,-0.009810999999999999,0.014133,194.687,201.571,180.0,180.0,170.586864,185.04343200000002,187.93485199999998
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603293368.1171966,-0.009823,0.014129666666666667,194.517,201.571,180.0,180.0,170.586864,185.04343200000002,187.93485199999998
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603293368.4159937,-0.009835,0.014126166666666667,194.336,201.571,180.0,180.0,170.586864,185.04343200000002,187.93485199999998
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603293368.7096527,-0.009847166666666666,0.014122833333333333,194.148,201.571,180.0,180.0,170.586864,185.04343200000002,187.93485199999998
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603293369.0179217,-0.009859333333333333,0.014119333333333334,193.939,201.571,180.0,180.0,170.586864,185.04343200000002,187.93485199999998
