1597406595.190004,4.975658166666666,-2.0901351666666668,23.643,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406595.3994348,4.9756651666666665,-2.0901306666666666,22.5559,0.0,35.0
time,lat,lon,hdg,rpm,rsa
1597406595.6268518,4.975675666666667,-2.0901246666666666,21.531,0.0,35.0
time,lat,lon,hdg,rpm,rsa
1597406595.897598,4.975682666666667,-2.0901205,19.9317,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406596.1023529,4.975689666666667,-2.0901168333333335,18.8584,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406596.3481495,4.9756998333333335,-2.0901111666666665,17.8553,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406596.595462,4.975706833333334,-2.0901073333333335,16.2905,0.0,35.0
time,lat,lon,hdg,rpm,rsa
1597406596.800951,4.975713666666667,-2.0901035,15.235,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406597.073502,4.975723666666667,-2.0900986666666665,14.2005,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406597.2979379,4.975730666666667,-2.090095333333333,12.6832,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406597.498089,4.975740833333333,-2.0900908333333335,11.6686,0.0,35.0
time,lat,lon,hdg,rpm,rsa
1597406597.6986196,4.975748333333334,-2.090088,10.6234,0.0,35.0
time,lat,lon,hdg,rpm,rsa
1597406597.9823437,4.975755166666667,-2.0900855,9.65832,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406598.2023356,4.975762333333334,-2.090083,8.09085,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406598.4392183,4.975773,-2.0900798333333332,7.10875,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406598.7017193,4.97578,-2.090078,5.6054,0.0,35.0
time,lat,lon,hdg,rpm,rsa
1597406598.9822571,4.975787333333333,-2.0900761666666665,5.05636,0.0,35.0
time,lat,lon,hdg,rpm,rsa
1597406599.198502,4.975798,-2.0900736666666666,3.08314,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406599.3989584,4.9758085,-2.0900711666666667,2.02707,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406599.6006584,4.975811666666667,-2.0900705,1.09836,0.0,35.0
time,lat,lon,hdg,rpm,rsa
1597406599.8040216,4.975821166666667,-2.0900683333333334,0.180135,0.0,35.0
time,lat,lon,hdg,rpm,rsa
1597406600.0834303,4.975828833333333,-2.090066833333333,359.158,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406600.2996795,4.9758355000000005,-2.0900655,357.685,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406600.573822,4.975842166666666,-2.0900641666666666,356.737,0.0,35.0
time,lat,lon,hdg,rpm,rsa
1597406600.7989438,4.9758465,-2.0900635,355.38,0.0,35.0
time,lat,lon,hdg,rpm,rsa
1597406601.0024989,4.975859333333333,-2.0900618333333334,354.287,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406601.2653902,4.9758695,-2.0900611666666666,353.334,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406601.5030112,4.9758759999999995,-2.090061,351.911,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406601.7197518,4.975886,-2.0900608333333333,350.994,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406601.9891312,4.975892833333333,-2.090061,350.041,0.0,35.0
time,lat,lon,hdg,rpm,rsa
1597406602.1992714,4.9758995,-2.0900613333333333,348.604,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406602.4009075,4.9759063333333335,-2.0900615,347.679,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406602.6018002,4.975916,-2.090062,346.748,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406602.8099043,4.975922333333333,-2.0900623333333335,345.803,0.0,35.0
time,lat,lon,hdg,rpm,rsa
1597406603.189754,4.9759253333333335,-2.0900625,345.141,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406603.4028964,4.975937,-2.090063333333333,342.979,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406603.6284285,4.975948,-2.0900641666666666,342.107,315.04,35.0
time,lat,lon,hdg,rpm,rsa
